"","word","values"
"786","Konkursen","-0.0048"
"787","Kontroverse","-0.3329"
"788","Kontroversen","-0.3329"
"789","Kopfschmerzen","-0.1993"
"790","Korruption","-0.3439"
"791","Korruptionen","-0.3439"
"792","Kostspieligkeit","-0.0048"
"793","Krach","-0.0048"
"794","Krächen","-0.0048"
"795","Kräche","-0.0048"
"796","Krachs","-0.0048"
"797","Kraches","-0.0048"
"798","Krache","-0.0048"
"799","Krachen","-0.0048"
"800","Krankheit","-0.6858"
"801","Krankheiten","-0.6858"
"802","Krieg","-0.5364"
"803","Kriegs","-0.5364"
"804","Krieges","-0.5364"
"805","Kriegen","-0.5364"
"806","Kriege","-0.5364"
"807","Kriminalität","-0.0048"
"808","Krise","-0.3621"
"809","Krisen","-0.3621"
"810","Kritik","-0.5308"
"811","Kritiken","-0.5308"
"812","Kritiker","-0.6494"
"813","Kritikers","-0.6494"
"814","Kritikern","-0.6494"
"815","Kränkung","-0.0048"
"816","Kränkungen","-0.0048"
"817","Krüppel","-0.3203"
"818","Krüppeln","-0.3203"
"819","Krüppels","-0.3203"
"820","Kurseinbruch","-0.0048"
"821","Kurseinbruchs","-0.0048"
"822","Kurseinbrüche","-0.0048"
"823","Kurseinbruches","-0.0048"
"824","Kurseinbrüchen","-0.0048"
"825","Kälte","-0.0048"
"826","Kündigung","-0.0048"
"827","Kündigungen","-0.0048"
"828","Kürzung","-0.341"
"829","Kürzungen","-0.341"
"830","Langeweile","-0.0377"
"831","Langweiler","-0.0443"
"832","Langweilern","-0.0443"
"833","Langweilers","-0.0443"
"834","Last","-0.0048"
"835","Lasten","-0.0048"
"836","Launenhaftigkeit","-0.0048"
"837","Lebensgefahr","-0.0048"
